Blood Bank Name,Address,City,State,Contact ,Helpline
District Headquarters Hospital,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",Rajahmundry,Andhra Pradesh,"0884 2367366, ",1
M/s. G. S. L. Medical College General Hospital Blood Bank,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",Rajahmundry,Andhra Pradesh,0883 2484999,1
"M/s. Swatantra Hospital,  Blood Bank","D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",Rajahmundry,Andhra Pradesh,"0883 2464745, 0883 246569878, 0883 2461493",1
M/S. Dhanwantari Voluntary Blood Bank.,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",Rajahmundry,Andhra Pradesh,0833-2473050,1
M/s. Government Area General Hospital Blood Bank.,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",Tuni,Andhra Pradesh,08854 252333,1
M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",Tuni,Andhra Pradesh,08854 251123,1
Government General Hospital Blood Bank,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",Guntur,Andhra Pradesh,0863 2220035 (Ext No: 280),1
Indian Red Cross Society,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",Guntur,Andhra Pradesh,0863 2220035 (Ext No: 280),1
Indian Red Cross Society Blood Bank ,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",Guntur city,Andhra Pradesh,0863 2215656,1
Lions Club of Guntur Vision Blood Bank,"1st Floor, Somuvari Street, Kothapeta, Guntur",Guntur city,Andhra Pradesh,"0863 2336198, 0863 2336199 ",1
Padmavathi Day & Night Blood Bank,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",Guntur city,Andhra Pradesh,"0863 2336198, 0863 2336199 ",1
M/s. Needs Blood Bank ,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",Guntur city,Andhra Pradesh,"0863 6638222, 0863 6639222",1
M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,"4th Floor, Behind Sivalayam Temple, Kothapeta
",Guntur city,Andhra Pradesh,0863 2219955,1
Saint Joseph General Hospital Blood Bank,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",Guntur city,Andhra Pradesh,"0863 2322700, 0863 2320386 ",1
NTR Memorial Trust Blood Bank,"Door No. 13-2-87, 1st Line G. V. Thota",Guntur city,Andhra Pradesh,0863 2339444 ,1
Katuri Medical College and Hospital Blood Bank ,"Katuri Nagar, Chinakondrupadu, Guntur
",Guntur Rural,Andhra Pradesh,"0863 2288555, 0863 2288556 (Ext No. 234) ",1
NRI Medical College and General Hospital Blood Bank,"Mangalagiri Mandalam, Chinakakani, Guntur
",Guntur Rural,Andhra Pradesh,"08645 236777, 08645 237401, 08645 230101",1
Manipal Hospital Bloodbank,"Soumyanagar, Tadepalli, Guntur",Guntur Rural,Andhra Pradesh,0866 2489700 (Ext No.102),1
Indian Red Cross Society Blood Bank. Narassraopet,"Area Hospital, Narasaraopeta ",Narasaraopeta,Andhra Pradesh,8647224455,1
NRT Blood Bank,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",Narasaraopeta,Andhra Pradesh,9542628888,1
Anjireddy Multi Specality Blood Bank ,"Gaganamma Temple, Piduguralla
",Piduguralla,Andhra Pradesh,08649 254567,1
Red Cross Blood Bank," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",Repalle,Andhra Pradesh,08648 223939,1
Area Hospital (Repeated),"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",Tenali,Andhra Pradesh,08648 223939,1
APVVP District Hospital Blood Bank,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",Tenali,Andhra Pradesh,08648 223939,1
Rudhira Voluntary Blood Bank,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",Tenali,Andhra Pradesh,"08644 231222, 08644 654123",1
Best Rotary Blood Bank,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",Tenali,Andhra Pradesh,"08644 231222, 08644 654123",1
Area Hospital Blood Bank,Gudivada,Gudivada,Andhra Pradesh,08674 245040,1
Dr. Pattabhi Red Cross Blood Bank ,"DM & HO Campus, Machilipatnam",Machilipatnam,Andhra Pradesh,08672 230605,1
Government General Hospital (Repeated),"Government General Hospital, Ramavarapadu, Vijayawada - 520007",Vijayawada,Andhra Pradesh,9866686760,1
Government District Headquarters Hospital machilipatnam blood bank,Machilipatnam,Vijayawada,Andhra Pradesh, 08672 245040,1
Rotary Red Cross Blood Bank,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",Vijayawada,Andhra Pradesh,"0866 2570082, 0866 6464002",1
Vijaya Sri Blood Bank,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",Vijayawada,Andhra Pradesh,0866 2433199,1
Lions Blood Bank,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",Vijayawada,Andhra Pradesh,0866 2434417,1
University General Hospital Blood Bank,"Ring Road, Gunadala, Vijayawada",Vijayawada,Andhra Pradesh,"0866 2452244, 0866 2453488",1
M/s. Chaitanya Blood Bank,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",Vijayawada,Andhra Pradesh,"0866 2497977, 0866 645977",1
Nagarjuna Hospital Blood Bank,"Kanuru, Vijayawada",Vijayawada,Andhra Pradesh,0866 2554701,1
Saint Ann&#39;s Hospital Blood Bank  ,"Punnammathota, Bandhar Road, Vijayawada - 2
",Vijayawada,Andhra Pradesh,0866 2572057,1
Rotary Red Cross Blood Bank (Repeated),"26-5-5, G.S. Raju Road, Vijayawada ",Vijayawada,Andhra Pradesh,2570082,1
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Chinnaoutapalli. ,Vijayawada,Andhra Pradesh,08676 257311,1
Bethesda Blood Bank,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",Vijayawada,Andhra Pradesh,0866 2435888,1
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ","H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",Vijayawada,Andhra Pradesh,0866 2573636,1
Suraksha Voluntary Blood Bank,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",Vijayawada,Andhra Pradesh,0866 2434499,1
M/s Ayush Nri Lepl Health Care Private Limited  ,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",Vijayawada,Andhra Pradesh,0866 2541414,1
M/s. Nimra Institute of Medical Sciences ,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",Vijayawada,Andhra Pradesh,"0866 6500000, 0866 6545454",1
"RCH -II Blood Bank, Area Hospital, Adoni","Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",Adoni,Andhra Pradesh,"0866 6500000, 0866 6545454",1
M/s. Indian Red Cross Society Blood Bank RCH 2,"First Floor, Government Area Hospital, Adoni, Kurnool
",Adoni,Andhra Pradesh,"0866 6500000, 0866 6545454",1
M/s. Government General Hospital Blood Bank,kurnool,Kurnool,Andhra Pradesh,"0866 6500000, 0866 6545454",1
M/s. Indian Red Cross Society Blood Bank,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",Kurnool,Andhra Pradesh,"0866 6500000, 0866 6545454",1
M/s. Viswa Bharathi General Hospital Blood Bank,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",Kurnool,Andhra Pradesh,08518 283964,1
M/s. Viswa Bharathi Blood Bank,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",Kurnool,Andhra Pradesh,08518 22294,1
M/s. R.R. Hospital Blood Bank,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",Kurnool,Andhra Pradesh,08518 223131,1
District Hospital Blood Bank ,"District Hospital, Noonepalli, Nandyal, Kurnool
",Nandyal,Andhra Pradesh,8514221033,1
M/s. Shantiram Medical College & General Hospital Blood Bank,"(Shafa Educational Society) NH-18, Nandyal",Nandyal,Andhra Pradesh,8514221033,1
Government Hospital Blood Bank,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",Srisailam Project,Andhra Pradesh,8514221033,1
M/s. Area Hospital Blood Bank,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",Chirala,Andhra Pradesh,8520026320,1
Indian Red Cross Society Blood bank,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",Markapur,Andhra Pradesh,08596 223485,1
M/s. RIMS General Hospital Blood Bank,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",Ongole,Andhra Pradesh,8592233310,1
Indian Red Cross Society Blood Bank,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",Ongole,Andhra Pradesh,08592 236093,1
M/s. Life Line Volunytary Blood Bank,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",Ongole,Andhra Pradesh,9247023117,1
M/s. Belief Blood Bank,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",Ongole,Andhra Pradesh,08592 222345,1
Government Hospital Blood Bank,"Area Hospital Compound, Gudur
",Gudur,Andhra Pradesh,08592 222345,1
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),"Survey No.1083/3, R.D Office Compound, Kavali.",Kavali,Andhra Pradesh,08626 244766,1
M/s. APVVP Area Hospital Blood Bank,Area Hospital Compound Kavali,Kavali,Andhra Pradesh,08626 244766,1
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,"Survey No.1083/3, R.D. Office Compound, Kavali
",Kavali,Andhra Pradesh,08626 244766,1
Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",Nellore,Andhra Pradesh,0861 2320470,1
District Headquarters Hospital (Repeated),"District Headquarters Hospital, Dargamitta, Nellore",Nellore,Andhra Pradesh,0861 2320470,1
D.S.R. Headquarters Hospital Blood Bank,"Government Hospital Compound, Nellore",Nellore,Andhra Pradesh,0861 2349277,1
Narayana Medical College & Hospital Blood Bank,"Narayana Hospital compound, Nellore",Nellore,Andhra Pradesh,0861 2317963,1
Gems Hospital Blood Bank,"Gems Hospital Premises, Ragolu, Srikakulam",Ragolu,Andhra Pradesh,0861 2317963,1
GMR Varalakshmi Care Hospital Blood Bank,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",Rajam,Andhra Pradesh,"08941 253183, 08941 253184",1
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,"RIMS Government Hospital Premises, Balaga, Srikakulam
",Srikakulam,Andhra Pradesh,08942 279679,1
Indian Red Cross Society (IRCS) Blood Bank,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",Srikakulam,Andhra Pradesh,"08942 226555, 08942 226111",1
District Hospital,AH- ANAKAPALLI,Anakapalli,Andhra Pradesh,"08942 226555, 08942 226111",1
M/s. NTR Area Hospital Blood Bank,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",Anakapalli,Andhra Pradesh,08924 223340,1
M/s. Visakha Steel General Hospital Blood Bank,"Ukkunagaram, Steel Plant, Visakhapatnam",Gajuwaka,Andhra Pradesh,0891 2887722,1
M/s. INHS Kalyani Blood Bank,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",Gajuwaka,Andhra Pradesh,0891 2814028,1
M/s. Anil Neerukonda Hospital  Blood Bank,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",Sangivalasa,Andhra Pradesh,8912821111 (Exte. No. 126),1
M/s. King George Hospital (KGH) Blood Bank ,"King George Hospital, Maharanipeta, Visakhapatnam",Visakhapatnam,Andhra Pradesh,0891 2564891,1
M/s. Government Victoria Hospital Blood Bank,"Women & Children Hospital Blood Bank, Visakhapatnam",Visakhapatnam,Andhra Pradesh,0891 2562637 ,1
M/s. Indian Red Cross Society Blood Bank ,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",Visakhapatnam,Andhra Pradesh,0891 2703953,1
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",Visakhapatnam,Andhra Pradesh,"0891 6534635, 0891 2506678",1
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",Visakhapatnam ,Andhra Pradesh,0891 2727272 ,1
M/s. Seven Hills Hospital Blood Bank,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",Visakhapatnam,Andhra Pradesh,0891 6677777,1
 A. S. Raja Voluntary Blood Bank,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",Visakhapatnam ,Andhra Pradesh,"0891 2543436,0891 6663436,0891 6644936.",1
M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",Visakhapatnam,Andhra Pradesh,"0891 6692587, 0891 6692580, 0891 6692590",1
M/s. N.T.R. Memorial Trust Blood Bank ,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",Visakhapatnam,Andhra Pradesh,"0891 2565858, 0891 2555858",1
M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",Visakhapatnam ,Andhra Pradesh,0891 2524777,1
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",Visakhapatnam ,Andhra Pradesh,"0891 2793741, 0891 2590131",1
"Indian Red Cross Society Blood Bank, RCH-II","Area Hospital Premises, First Floor, Belagam, Parvathipuram
",Parvathipuram,Andhra Pradesh,08963 222088,1
District Headquarters Hospital Blood Bank,"District Headquarters Hospital, Cantonment, Vizianagaram ",Vizianagaram,Andhra Pradesh,08963 222088,1
Indian Red Cross Society Blood Bank,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",Vizianagaram,Andhra Pradesh,08922 272700,1
Srinivasa Nursing Home Blood Bank ,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",Vizianagaram,Andhra Pradesh,08922 275513 ,1
Maharaja Institute of Medical Sciences Blood Bank,"D.No. 31-15, Nellimarla, Vizianagaram",Vizianagaram,Andhra Pradesh,08922 244394,1
ASN Raju Charitable Trust Blood Bank,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",Bhimavaram,Andhra Pradesh,08816 225556,1
Uddaraju Anandaraju Foundation Blood Bank,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",Bhimavaram,Andhra Pradesh,"08816 230888, 08816 230878",1
M/s. Government Headquarters Hospital Blood Bank,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",Eluru,Andhra Pradesh,08812 220333,1
M/s. Indian Red Cross Society Component Blood Bank," General Hospital Premises, Eluru, West Godavai
",Eluru,Andhra Pradesh,08812 224722,1
M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
",Eluru,Andhra Pradesh,"08812 288288, 08812 288299",1
M/s. Good Samaritan Blood Bank,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
",Eluru,Andhra Pradesh,"08812 246430, 08812 246947",1
M/s. Indian Red Cross Society Blood Bank jangareddi gudem,"Government Hospital Premises, Jangareddygudem",Jangareddygudem,Andhra Pradesh,08821 225305,1
Indian Red Cross Society Blood Bank narasapuram,"C/o. Community Healthcare Center, Narsapuram",Narasapuram,Andhra Pradesh,08814 276656 ,1
Palakol Voluntary Blood Bank,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",Palakol,Andhra Pradesh,08814 222678,1
Indian Red Cross Society Blood Bank Tanuku  (Repeated),"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District ",Tanuku,Andhra Pradesh,8819221184,1
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",Tanuku,Andhra Pradesh,08819 221184,1
Sri Buddala Narasimhamurty Voluntary Blood Bank,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku
",Tanuku,Andhra Pradesh,08819 225269,1
Rajiv Gandhi Institute of Medical Sciences Blood Bank,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",Kadapa,Andhra Pradesh,08562 225665,1
"Indian Red Cross Society, Blood Bank","D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa
",KADAPA,Andhra Pradesh,08562 272829,1
Boga Parvathamma Blood Bank ,"A unit of boga parvathamma memorial blood donation service organization,
d.no:7-137, second floor, jayanagar colony , Kadapa
  ",Kadapa,Andhra Pradesh,08562 272829,1
Rajiv Gandhi Institute of Medical Sciences Blood Bank ,"RIIMS General Hospital ,Ground Floor, Putlam Palli Kadapa",Kadapa,Andhra Pradesh,08562 272829,1
Fathima Institute of Medical Sciences Blood Bank,"Ramarajupalli, Pulivendula Road Kadapa",Kadapa,Andhra Pradesh,"08562 200505, 08562 200092",1
District Hospital Blood Bank ,"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",PRODDATUR,Andhra Pradesh,"8563 200505, 08562 200092",1
A.P Vaidyavidhanaparishad Area Hospital Blood Bank,"Proddatur, YSR",Proddatur,Andhra Pradesh,"8564 200505, 08562 200092",1
A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ,"Ground Floor, Muddanuru Road, Pulivendula",Pulivendula,Andhra Pradesh,"8565 200505, 08562 200092",1
Changlang District Hospital Blood Bank,"District Hospital, Changlang District, Arunachal Pradesh",Changlang,Arunachal Pradesh,"8566 200505, 08562 200092",1
Pasighat General Hospital Blood Bank,"General Hospital, Pasighat,  Jt. DHS (T&R), High Region, Near NH 52. ",Pasighat,Arunachal Pradesh,"8567 200505, 08562 200092",1
Lohit District Hospital Blood Bank,"District Hospital Tezu, Lohit District, Arunachal Pradesh",Tezu,Arunachal Pradesh,"8568 200505, 08562 200092",1
General Hospital Ziro  Blood Bank,"General Hospital Ziro, Lower Subansiri
 
",Ziro,Arunachal Pradesh,"8569 200505, 08562 200092",1
Ramakrishna Mission Hospital Blood bank,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar,
",Itanagar,Arunachal Pradesh," 0360-221 2263, 221 8780",1
Arunachal State Hospital Blood Bank,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",Naharlagun,Arunachal Pradesh," 0360-221 2263, 221 8780",1
Tawang District Hospital Blood Bank,"District Hospital, Tawang District , Arunachal Pradesh",Tawang,Arunachal Pradesh," 0360-221 2263, 221 8780",1
Tawang District Hospital Blood Bank ,"Bomdila,Tawang",Tawang,Arunachal Pradesh," 0360-221 2263, 221 8780",1
District Hospital Blood Bank,"Roing,Tezu, Upper Siang",Upper Siang,Arunachal Pradesh," 0360-221 2263, 221 8780",1
Upper Siang District Hospital Blood Bank,"District Hospital, Yingkiong, Upper Siang District, 
Arunachal Pradesh.",Yingkiong,Arunachal Pradesh,03777 222545,1
Upper Subansiri District Hospital Blood Bank,"District Hospital Daporijo, Upper Subansiri District, 
Arunachal Pradesh",Daporijo,Arunachal Pradesh,03777 222545,1
West Siang District Hospital Blood Bank,"District Hospital, Medical Complex, Aalo",Aalo,Arunachal Pradesh,03777 222545,1
Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River ",Barpeta,Assam,03665 252088,1
Bongaigaon Civil Hospital Blood Bank,"Main Road, Mayapuri,Bongaigaon",Bongaigaon,Assam,03664 228103,1
Lower Assam Hospital Blood Bank,"Chapaguri Road, North Bongaigaon",Bongaigaon,Assam,3664230465,1
Silchar Medical College and Hospital Blood Bank,"Krishnapur Medical Road, Ghungoor, Silchar
",Silchar,Assam,03842 229103,1
Indian Red Cross Children Hospital Blood Bank,"Indian Red Cross Children Hospital, Tarapur, Silchar",Silchar,Assam,,1
Barak Blood Bank and Clinical Research Centre,"Central Rd, Tarapur, Kanakpur Part-II",Silchar,Assam, 03842 222 185,1
Bongaigaon Refinery (BRPL) Hospital Blood Bank ,"BRPL Refinery, iocl/bgr township",Dhaligaon,Assam,"03664254669, 03664253253",1
Mangaldoi Civil Hospital Blood Bank,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",Mangaldoi,Assam,03713 222024,1
Dhemaji Civil Hospital Blood Bank,"Ward No:9, Lachit Nagar, Natun Nagar Rd",Dhemaji,Assam,,1
Dhubri Civil Hospital Blood Bank,"Jhagrarpar, Dhubri",Dhubri,Assam,"0366 223 2558, 03662 230959",1
Assam Medical College and Hospital Blood Bank,"Barbari, Dibrugarh",Dibrugarh,Assam,3732303731,1
Dr. Damani&#39;s Nursing Home Blood Bank,"L.G.B. Avenue, Near Circuit House",Dibrugarh,Assam,0373 2300928,1
Aditya Diagnostic Hospital Blood Bank,"Bordoloi Avenue, Dibrugarh",Dibrugarh,Assam,"0373 2302219, 0373 2302220",1
Sri Manta Sankardeva Hospital and Research Centre Blood Bank,"Chowkindinge, Mancotta Road",Dibrugarh,Assam,"00373 2327717, 0373 2327715",1
Dirial Central Hospital Blood Bank,"Diral Tea estate, Hoogrijan",Dibrugarh,Assam,,1
Oil India Limited Hospital Blood Bank,"Oil Hospital, Duliajan",Duliajan,Assam,0374 2806356,1
Haflong Civil Hospital Blood Bank ,"NH 54, Songpijaang, Haflong",Haflong,Assam,03673 236 555,1
